,pfun,shm,ncons,fps_in,fps_out,frame_sz
0,do_nothing,MRB,1,4144.98955787037,4155.500048630069,262144
1,do_nothing,ArrayQueue,1,559.4279748149801,565.5736906805917,262144
2,do_nothing,Queue,1,110793.6807723176,108.06064821657334,262144
3,do_nothing,Ring buffer,1,7280.777056792653,7289.636831953986,262144
4,do_nothing,MRB,1,4021.7720860658783,4030.902219766087,262144
5,do_nothing,ArrayQueue,1,503.59888523566445,508.74000252148306,262144
6,do_nothing,Queue,1,111057.09826793846,107.78098324451645,262144
7,do_nothing,Ring buffer,1,9134.224885639705,9142.20119734651,262144
8,do_nothing,MRB,1,4028.3989350476595,4038.5948915101253,262144
9,do_nothing,ArrayQueue,1,530.1006575439131,535.9159214223602,262144
10,do_nothing,Queue,1,108318.35306714728,133.6115606134806,262144
11,do_nothing,Ring buffer,1,7662.894972102502,7674.303185613087,262144
12,do_nothing,MRB,1,3963.0436145515637,3972.1606755104963,262144
13,do_nothing,ArrayQueue,1,584.0675506389565,589.2141183870916,262144
14,do_nothing,Queue,1,110945.50685678997,128.20462775437517,262144
15,do_nothing,Ring buffer,1,7410.522755608346,7421.021014076673,262144
16,do_nothing,MRB,1,4035.1515995141176,4045.6861410347287,262144
17,do_nothing,ArrayQueue,1,552.7500374325688,558.4048471801566,262144
18,do_nothing,Queue,1,71798.50328671308,153.59126490108264,262144
19,do_nothing,Ring buffer,1,7324.008950993597,7332.2545194383165,262144
20,average,MRB,1,4722.182062312179,314.87485004135584,262144
21,average,ArrayQueue,1,626.8626447045538,319.5132116365368,262144
22,average,Queue,1,109442.08917973281,105.70644442682685,262144
23,average,Ring buffer,1,8341.402701463725,323.4733758685004,262144
24,average,MRB,1,4717.637078646873,316.0925545609413,262144
25,average,ArrayQueue,1,439.14048894550405,365.43737558263285,262144
26,average,Queue,1,111201.02981865632,97.9470086144861,262144
27,average,Ring buffer,1,8269.421176560494,317.6301038175142,262144
28,average,MRB,1,4051.553457350997,315.73505493713685,262144
29,average,ArrayQueue,1,644.3759570092157,320.9770972002737,262144
30,average,Queue,1,110233.50264856489,107.64296020802762,262144
31,average,Ring buffer,1,8254.059958794149,322.2368384687603,262144
32,average,MRB,1,3912.8833438224306,312.72890254802127,262144
33,average,ArrayQueue,1,609.5228222598427,318.8758642341728,262144
34,average,Queue,1,110593.2169285827,99.60602976298924,262144
35,average,Ring buffer,1,8602.544262103233,323.62590278751395,262144
36,average,MRB,1,4208.96562794766,309.3295530613419,262144
37,average,ArrayQueue,1,595.5884176787922,332.35940405676905,262144
38,average,Queue,1,108284.44337550046,98.98786772747502,262144
39,average,Ring buffer,1,8932.096915757198,323.15253898160415,262144
40,long_computation_st,MRB,1,4480.3986986035525,92.09699344663254,262144
41,long_computation_st,ArrayQueue,1,621.7764245494177,88.49865276062398,262144
42,long_computation_st,Queue,1,127554.83310619116,80.88208482616581,262144
43,long_computation_st,Ring buffer,1,8126.797414505399,88.75891938444013,262144
44,long_computation_st,MRB,1,3984.421645521714,90.3086851071096,262144
45,long_computation_st,ArrayQueue,1,652.1419587252739,103.26487171237578,262144
46,long_computation_st,Queue,1,131986.651477954,90.47941048537892,262144
47,long_computation_st,Ring buffer,1,8685.403248022241,108.96683122742662,262144
48,long_computation_st,MRB,1,4183.724004117791,109.06273898549364,262144
49,long_computation_st,ArrayQueue,1,635.4228209203974,104.53176611431385,262144
50,long_computation_st,Queue,1,111007.10586976125,87.28918017705445,262144
51,long_computation_st,Ring buffer,1,8445.911408817012,88.32143128863298,262144
52,long_computation_st,MRB,1,4371.084509747644,93.22599465658439,262144
53,long_computation_st,ArrayQueue,1,675.2719162015305,89.53642659339258,262144
54,long_computation_st,Queue,1,113372.9104637366,103.8529615409945,262144
55,long_computation_st,Ring buffer,1,9437.424068838518,107.85434429127147,262144
56,long_computation_st,MRB,1,4092.28511601453,111.21213763037831,262144
57,long_computation_st,ArrayQueue,1,628.7222824795289,100.84912685445136,262144
58,long_computation_st,Queue,1,129462.86352228677,90.05275817301141,262144
59,long_computation_st,Ring buffer,1,8390.914206952586,89.03122475580055,262144
60,long_computation_mt,MRB,1,1690.5554002414635,63.18094945464471,262144
61,long_computation_mt,ArrayQueue,1,558.3209902940064,91.68771475324994,262144
62,long_computation_mt,Queue,1,53341.86456937697,46.693679246125406,262144
63,long_computation_mt,Ring buffer,1,3611.255837377883,74.63261192592692,262144
64,long_computation_mt,MRB,1,1555.1247844652687,71.8087700979147,262144
